version,sha256,path,os_name,os_arch
3.9.0,ace20216c3fad45d87792409e38f8821b6e36a007542af11da9dc36999256748,pythons/3.9.0/ubuntu-22-04-x86_64-ace20216c3fad45d87792409e38f8821b6e36a007542af11da9dc36999256748.tar,ubuntu 22.04,x86_64
3.9.0,c8bb4a97661f84047aa514e8c4569a09658b98d78a66c7bee6b382265dd00f17,pythons/3.9.0/ubuntu-24-04-x86_64-c8bb4a97661f84047aa514e8c4569a09658b98d78a66c7bee6b382265dd00f17.tar,ubuntu 24.04,x86_64
3.9.1,247a038939b26f87b2b0e191c0c37c78331208afd2746b91d398b57cf8e9bcba,pythons/3.9.1/ubuntu-22-04-x86_64-247a038939b26f87b2b0e191c0c37c78331208afd2746b91d398b57cf8e9bcba.tar,ubuntu 22.04,x86_64
3.9.1,97abe9873763e0bc68b9b978f675b4c8d02e7636ed137a2c1a44b6df1bfa54a4,pythons/3.9.1/ubuntu-24-04-x86_64-97abe9873763e0bc68b9b978f675b4c8d02e7636ed137a2c1a44b6df1bfa54a4.tar,ubuntu 24.04,x86_64
3.9.2,b78dc7a2183141d320a2ce08d2e9f2260fb65ef505004cb5dfcbbe3ce7e614c9,pythons/3.9.2/ubuntu-22-04-x86_64-b78dc7a2183141d320a2ce08d2e9f2260fb65ef505004cb5dfcbbe3ce7e614c9.tar,ubuntu 22.04,x86_64
3.9.2,7787cb669709180534c9f99fb02e08869c76cf31b7ac19a5b286041210478717,pythons/3.9.2/ubuntu-24-04-x86_64-7787cb669709180534c9f99fb02e08869c76cf31b7ac19a5b286041210478717.tar,ubuntu 24.04,x86_64
3.9.3,0aa08474cfa5df265907bd3cd0b23954173302e57a4f682ca1347c46880f6401,pythons/3.9.3/ubuntu-22-04-x86_64-0aa08474cfa5df265907bd3cd0b23954173302e57a4f682ca1347c46880f6401.tar,ubuntu 22.04,x86_64
3.9.3,e406d9cb5b11f4d9488c9439818c9b6ee8dd2eefa724ffae1aeda2617117baeb,pythons/3.9.3/ubuntu-24-04-x86_64-e406d9cb5b11f4d9488c9439818c9b6ee8dd2eefa724ffae1aeda2617117baeb.tar,ubuntu 24.04,x86_64
3.9.4,aa1a070e2bf774281fb63eaa2ade7051c3437955212458fe756733cb7e17c3a9,pythons/3.9.4/ubuntu-22-04-x86_64-aa1a070e2bf774281fb63eaa2ade7051c3437955212458fe756733cb7e17c3a9.tar,ubuntu 22.04,x86_64
3.9.4,afa994316325d4e6c5867d12828d276756363c482cb1df389ce9cf66822e2c21,pythons/3.9.4/ubuntu-24-04-x86_64-afa994316325d4e6c5867d12828d276756363c482cb1df389ce9cf66822e2c21.tar,ubuntu 24.04,x86_64
